effort,uuid,download_url
hubmap,d87b2121ee1a5777c29a69307f806328,https://assets.hubmapconsortium.org/d87b2121ee1a5777c29a69307f806328/expr.h5ad
hubmap,be9a0e3119ea00dc156eff7ca346f46e,https://assets.hubmapconsortium.org/be9a0e3119ea00dc156eff7ca346f46e/expr.h5ad
hubmap,8c5e705001d5cc1c40dbd963ad848486,https://assets.hubmapconsortium.org/8c5e705001d5cc1c40dbd963ad848486/expr.h5ad
hubmap,57054da2dbe87b93f1adb78444086963,https://assets.hubmapconsortium.org/57054da2dbe87b93f1adb78444086963/expr.h5ad
hubmap,17f67cb15e59f65e640d85d2f3866cde,https://assets.hubmapconsortium.org/17f67cb15e59f65e640d85d2f3866cde/expr.h5ad
hubmap,abcc3410656bc854cf5e0abdee3de738,https://assets.hubmapconsortium.org/abcc3410656bc854cf5e0abdee3de738/expr.h5ad
hubmap,b921c30d5077581c016d87d4f4c9ff19,https://assets.hubmapconsortium.org/b921c30d5077581c016d87d4f4c9ff19/expr.h5ad
hubmap,674116f3bb6c85dc933ea4ce6ffab05f,https://assets.hubmapconsortium.org/674116f3bb6c85dc933ea4ce6ffab05f/expr.h5ad
hubmap,2d0deacd8be70eefbdc33ac107d97e58,https://assets.hubmapconsortium.org/2d0deacd8be70eefbdc33ac107d97e58/expr.h5ad
hubmap,892b7cae1138be0b8181cca95b901628,https://assets.hubmapconsortium.org/892b7cae1138be0b8181cca95b901628/expr.h5ad
hubmap,0d1eb3d774a694b79e844987f771b183,https://assets.hubmapconsortium.org/0d1eb3d774a694b79e844987f771b183/expr.h5ad
hubmap,046251c94ea0e79ee935dd3de57e093c,https://assets.hubmapconsortium.org/046251c94ea0e79ee935dd3de57e093c/expr.h5ad
hubmap,a39f501df340b605a58dc492f51c05db,https://assets.hubmapconsortium.org/a39f501df340b605a58dc492f51c05db/expr.h5ad
hubmap,494be3179855c071121a9307e0e84683,https://assets.hubmapconsortium.org/494be3179855c071121a9307e0e84683/expr.h5ad
hubmap,84db9a72aba9ae0ef740192ad8747ee3,https://assets.hubmapconsortium.org/84db9a72aba9ae0ef740192ad8747ee3/expr.h5ad
hubmap,0929c9d0851b8824070013cb095c247c,https://assets.hubmapconsortium.org/0929c9d0851b8824070013cb095c247c/expr.h5ad
hubmap,78e90185d511ee0f6293e266a7354348,https://assets.hubmapconsortium.org/78e90185d511ee0f6293e266a7354348/expr.h5ad
hubmap,a39fed027b51d97f83cec90c63c44744,https://assets.hubmapconsortium.org/a39fed027b51d97f83cec90c63c44744/expr.h5ad
hubmap,4b16c24a3997ea8754921b0f1d60bc4d,https://assets.hubmapconsortium.org/4b16c24a3997ea8754921b0f1d60bc4d/expr.h5ad
hubmap,ee6e44b3e6cb77ef1806e722390a01a8,https://assets.hubmapconsortium.org/ee6e44b3e6cb77ef1806e722390a01a8/expr.h5ad
hubmap,5039cf8619f6f8b5b4a14af1037e1d1f,https://assets.hubmapconsortium.org/5039cf8619f6f8b5b4a14af1037e1d1f/expr.h5ad
hubmap,6c4582697caa32064baebc97cade18ef,https://assets.hubmapconsortium.org/6c4582697caa32064baebc97cade18ef/expr.h5ad
hubmap,b5ff6c347488c45deafeb6316dc7925b,https://assets.hubmapconsortium.org/b5ff6c347488c45deafeb6316dc7925b/expr.h5ad
hubmap,28d7789ef980031fb7278646fe43ffe1,https://assets.hubmapconsortium.org/28d7789ef980031fb7278646fe43ffe1/expr.h5ad
